Investment_Name,Type,Expected_Return,Risk_Level,Liquidity,Min_Investment_Rs,Lock_in_Period,Description,Suitability_for_Gig_Workers,Safe_For_High_Volatility,Min_Monthly_Earning_Rs,Max_Debt_Rs,Min_Savings_Rs,Gig_Priority
Bharat Bond ETF - April 2032,ETF - Government Debt,~7.0% p.a. (YTM),Low,High,1000,Maturity 2032,"AAA-rated PSU bonds ETF.","Stable tradable debt with liquidity",Yes,5000,999999,5000,4
Bharat Bond ETF - April 2033,ETF - Government Debt,~7.8% p.a. (YTM indicative),Low,High,1000,Maturity 2033,"AAA-rated PSU bonds ETF.","Longer maturity stable debt option",Yes,5000,999999,5000,4
Bank Fixed Deposit (SBI/HDFC short tenure),Bank Fixed Deposit,6.3-6.8% p.a.,Low,Low,1000,1-3 years,"Bank-guaranteed fixed deposit.","Short-term high capital protection for gig surplus",Yes,0,999999,0,5
Bank Fixed Deposit (SBI/HDFC 5-year),Bank Fixed Deposit,6.8% p.a.,Low,Low,1000,5 years,"Bank-guaranteed longer deposit.","Medium-term safety when surplus grows",No,10000,999999,5000,4
HDFC / SBI Liquid Fund,Mutual Fund - Liquid,~6.8% p.a. (indicative),Very Low,High,100 (SIP),None (T+1),"Short-term money market instruments.","Emergency fund parking — highest liquidity for irregular income",Yes,0,999999,0,5
ICICI Pru Ultra Short Term Fund,Mutual Fund - Ultra Short,~7.0% p.a. (indicative),Low,High,100 (SIP),None,"Ultra-short duration debt securities.","Near-zero risk with slightly better yield than liquid",Yes,0,999999,0,5
Edelweiss CRISIL-IBX AAA Bond Index Fund (Jun 2027),Mutual Fund - Target Maturity,~6.9% p.a.,Low,High,100 (SIP),Maturity 2027,"AAA-rated bond index target maturity fund.","Ultra-safe indexed debt for gig stability",Yes,0,999999,0,5
Aditya Birla SL CRISIL-IBX AAA NBFC-HFC Index Fund (Sep 2026),Mutual Fund - Target Maturity,~6.9% p.a.,Low,High,100 (SIP),Maturity 2026,"AAA NBFC/HFC bond index fund.","Lesser-known safe debt with excellent liquidity",Yes,5000,999999,0,5
Nippon India Nifty AAA PSU Bond Plus SDL (Sep 2026 50:50),Mutual Fund - Target Maturity,~6.7% p.a.,Low,High,100 (SIP),Maturity 2026,"PSU bond + SDL index fund.","Stable low-risk indexed debt",Yes,5000,999999,0,4
Axis CRISIL-IBX AAA Bond NBFC-HFC (Jun 2027),Mutual Fund - Target Maturity,~6.9% p.a.,Low,High,100 (SIP),Maturity 2027,"AAA bond index target maturity.","Safe indexed debt option",Yes,5000,999999,0,4
Banking & PSU Debt Fund,Mutual Fund - Debt,~7.2% p.a.,Low,High,100 (SIP),None,"Bank and public sector unit bonds.","Stable debt with good liquidity for gig workers",Yes,5000,999999,0,4
Corporate Bond Mutual Fund (High Quality),Mutual Fund - Debt,~7.5% p.a.,Low-Medium,High,500 (SIP),None,"High-quality corporate bonds.","Balanced yield with reasonable safety",Yes,10000,50000,5000,3
Kotak CRISIL-IBX AAA Bond Financial Services (Dec 2026),Mutual Fund - Target Maturity,~6.8% p.a.,Low,High,100 (SIP),Maturity 2026,"Financial services AAA bond index.","Lesser-known target maturity safety net",Yes,5000,999999,0,4
Nippon India CRISIL IBX AAA Financial Services (Dec 2026),Mutual Fund - Target Maturity,~6.8% p.a.,Low,High,100 (SIP),Maturity 2026,"AAA financial services bond index.","Ultra-safe short-maturity indexed debt",Yes,0,999999,0,5
Digital Gold (Groww / Paytm),Commodity - Digital Gold,Gold price linked,Medium,High,1,None,"24K gold in micro digital units.","True micro-investment entry point for gig workers",Yes,0,999999,0,5
Nippon India Gold BeES ETF,Gold ETF,Gold price linked,Medium,High,100,None,"Tracks physical gold price on exchange.","Micro gold exposure and diversification",Yes,0,999999,0,4
Sovereign Gold Bond (Current Series),Government Bond - Gold Linked,2.5% p.a. + gold appreciation,Low-Medium,Medium,5000 (≈1 gram),8 years (exit after 5),"Government gold bond with fixed interest.","Inflation hedge suitable in Growth phase",No,10000,999999,10000,3
Balanced Advantage Fund (Dynamic Hybrid),Mutual Fund - Hybrid,~9-11% p.a. (indicative),Medium,High,500 (SIP),None,"Dynamic allocation between equity and debt.","For Stability/Growth when income volatility is lower",No,20000,50000,10000,2
NPS Tier I - Conservative Fund,National Pension System,~8.5% p.a. (debt heavy),Low,Low,500 per month,Till age 60 (partial allowed),"Low-equity pension scheme.","Retirement-focused for Stability/Growth phase",No,15000,999999,10000,3
Nifty 50 ETF (SBI / Nippon India),ETF - Equity Index,~12-15% p.a. (long-term historical),High,High,100,None,"Tracks top 50 Indian blue-chip companies.","Only for high Financial Health Score + Growth phase (long horizon)",No,30000,20000,20000,1
